# VHH-NNLO grid scan points
# process: ZHH
# energy_tev: 13.6
# scan_axes: kappa_lambda,kappa_z
# scan_x_keys: kappa_lambda,kappa_z
# windows: kappa_lambda=[-0.7,6.1]; kappa_z=[0.9,1.2]
# n_points_per_axis: 40
# n_points_total: 1600
# fixed_kappa: 1,1,1,1
#
kappa_lambda	kappa_z	sigma_lo	sigma_nnlo	k	sigma_heft_over_sm_lo	sigma_heft_over_sm_nnlo
0.5205128205	0.9615384615	0.2155209004	0.299969582	1.39183523	0.7413986583	0.7566100596
0.5205128205	0.9692307692	0.2175295627	0.3033992022	1.394749286	0.7483085197	0.7652605539
0.5205128205	0.9769230769	0.219587508	0.3069134805	1.397681878	0.7553879161	0.7741245804
0.5205128205	0.9846153846	0.2216956163	0.3105134148	1.400629475	0.7626398748	0.7832046559
0.5205128205	0.9923076923	0.2238547746	0.3142000123	1.403588612	0.770067447	0.7925033213
0.5205128205	1	0.226065877	0.31797429	1.406555886	0.7776737087	0.8020231414
0.5205128205	1.007692308	0.2283298248	0.3218372742	1.409527969	0.7854617599	0.8117667052
0.5205128205	1.015384615	0.2306475261	0.325790001	1.412501605	0.7934347254	0.8217366254
0.5205128205	1.023076923	0.2330198966	0.3298335156	1.415473616	0.8015957541	0.8319355391
0.5205128205	1.030769231	0.2354478585	0.3339688731	1.418440903	0.8099480193	0.8423661069
0.5205128205	1.038461538	0.2379323415	0.3381971379	1.421400452	0.8184947189	0.8530310139
0.5205128205	1.046153846	0.2404742823	0.342519384	1.424349335	0.8272390749	0.8639329689
0.5205128205	1.053846154	0.2430746246	0.3469366949	1.427284709	0.836184334	0.8750747047
0.5205128205	1.061538462	0.2457343192	0.3514501636	1.430203826	0.8453337669	0.8864589784
0.5205128205	1.069230769	0.2484543242	0.3560608926	1.433104027	0.8546906692	0.8980885707
0.5205128205	1.076923077	0.2512356044	0.3607699939	1.435982749	0.8642583603	0.9099662865
0.5205128205	1.084615385	0.254079132	0.3655785892	1.438837524	0.8740401846	0.9220949548
0.5205128205	1.092307692	0.2569858862	0.3704878095	1.44166598	0.8840395103	0.9344774285
0.5205128205	1.1	0.2599568533	0.3754987953	1.444465843	0.8942597304	0.9471165844
0.5205128205	1.107692308	0.2629930267	0.3806126969	1.447234939	0.9047042621	0.9600153234
0.5205128205	1.115384615	0.2660954069	0.3858306738	1.44997119	0.9153765471	0.9731765705
0.5205128205	1.123076923	0.2692650013	0.3911538951	1.452672621	0.9262800513	0.9866032746
0.5205128205	1.130769231	0.2725028247	0.3965835395	1.455337353	0.9374182653	1.000298409
0.5205128205	1.138461538	0.2758098987	0.4021207953	1.457963609	0.9487947039	1.014264969
0.5205128205	1.146153846	0.2791872523	0.40776686	1.460549709	0.9604129061	1.028505978
0.5205128205	1.153846154	0.2826359213	0.4135229409	1.463094072	0.9722764356	1.043024479
0.5205128205	1.161538462	0.2861569487	0.4193902546	1.465595214	0.9843888804	1.057823541
0.5205128205	1.169230769	0.2897513847	0.4253700276	1.468051751	0.9967538528	1.072906259
0.5205128205	1.176923077	0.2934202863	0.4314634954	1.47046239	1.00937499	1.088275747
0.5205128205	1.184615385	0.297164718	0.4376719033	1.472825934	1.022255952	1.103935148
0.5205128205	1.192307692	0.3009857509	0.4439965063	1.475141281	1.035400425	1.119887626
0.5205128205	1.2	0.3048844637	0.4504385684	1.477407418	1.048812119	1.13613637
0.6948717949	0.9	0.2207539693	0.2990516631	1.354683062	0.7594005796	0.7542948027
0.6948717949	0.9076923077	0.2225822678	0.3020778429	1.357151429	0.7656899837	0.7619277034
0.6948717949	0.9153846154	0.2244530997	0.3051806049	1.359663134	0.7721257041	0.7697537669
0.6948717949	0.9230769231	0.2263672826	0.3083608751	1.362214855	0.7787105535	0.7777753282
0.6948717949	0.9307692308	0.2283256412	0.3116195886	1.3648033	0.7854473685	0.7859947463
0.6948717949	0.9384615385	0.2303290073	0.3149576902	1.367425206	0.7923390106	0.7944144043
0.6948717949	0.9461538462	0.2323782196	0.3183761343	1.370077346	0.7993883653	0.8030367091
0.6948717949	0.9538461538	0.2344741242	0.3218758847	1.372756528	0.8065983426	0.8118640919
0.6948717949	0.9615384615	0.236617574	0.3254579146	1.375459604	0.8139718772	0.8208990076
0.6948717949	0.9692307692	0.2388094291	0.329123207	1.378183467	0.8215119276	0.8301439352
0.6948717949	0.9769230769	0.2410505568	0.3328727542	1.380925058	0.8292214772	0.8396013779
0.6948717949	0.9846153846	0.2433418313	0.3367075581	1.383681368	0.8371035335	0.8492738627
0.6948717949	0.9923076923	0.2456841341	0.3406286301	1.38644944	0.8451611285	0.8591639406
0.6948717949	1	0.2480783536	0.3446369912	1.389226372	0.8533973186	0.8692741867
0.6948717949	1.007692308	0.2505253853	0.3487336716	1.392009321	0.8618151846	0.8796071999
0.6948717949	1.015384615	0.253026132	0.3529197115	1.394795505	0.8704178315	0.8901656035
0.6948717949	1.023076923	0.2555815033	0.3571961603	1.397582203	0.879208389	0.9009520443
0.6948717949	1.030769231	0.2581924161	0.3615640769	1.400366759	0.8881900109	0.9119691936
0.6948717949	1.038461538	0.2608597943	0.3660245299	1.403146587	0.8973658755	0.9232197463
0.6948717949	1.046153846	0.2635845689	0.3705785973	1.405919166	0.9067391857	0.9347064215
0.6948717949	1.053846154	0.266367678	0.3752273665	1.408682049	0.9163131683	0.9464319623
0.6948717949	1.061538462	0.2692100668	0.3799719347	1.411432861	0.926091075	0.9583991358
0.6948717949	1.069230769	0.2721126876	0.3848134084	1.414169298	0.9360761815	0.970610733
0.6948717949	1.076923077	0.2750764997	0.3897529037	1.416889135	0.9462717882	0.983069569
0.6948717949	1.084615385	0.2781024696	0.3947915462	1.419590221	0.9566812197	0.9957784829
0.6948717949	1.092307692	0.2811915709	0.399930471	1.422270482	0.9673078249	1.008740338
0.6948717949	1.1	0.2843447841	0.4051708227	1.424927923	0.9781549774	1.021958021
0.6948717949	1.107692308	0.2875630971	0.4105137555	1.427560628	0.9892260748	1.035434443
0.6948717949	1.115384615	0.2908475045	0.415960433	1.430166759	1.00052454	1.049172539
0.6948717949	1.123076923	0.2941990084	0.4215120284	1.432744559	1.012053818	1.063175269
0.6948717949	1.130769231	0.2976186177	0.4271697245	1.435292348	1.023817381	1.077445615
0.6948717949	1.138461538	0.3011073485	0.4329347133	1.437808528	1.035818725	1.091986584
0.6948717949	1.146153846	0.3046662239	0.4388081967	1.440291579	1.048061368	1.106801209
0.6948717949	1.153846154	0.3082962743	0.4447913859	1.442740062	1.060548855	1.121892542
0.6948717949	1.161538462	0.311998537	0.4508855017	1.445152615	1.073284755	1.137263665
0.6948717949	1.169230769	0.3157740563	0.4570917742	1.447527956	1.08627266	1.15291768
0.6948717949	1.176923077	0.319623884	0.4634114434	1.449864877	1.099516188	1.168857714
0.6948717949	1.184615385	0.3235490785	0.4698457585	1.452162252	1.11301898	1.185086918
0.6948717949	1.192307692	0.3275507056	0.4763959783	1.454419026	1.126784703	1.201608467
0.6948717949	1.2	0.3316298381	0.4830633712	1.456634222	1.140817046	1.218425561
0.8692307692	0.9	0.2417638196	0.3243520747	1.341607173	0.8316751237	0.8181097594
0.8692307692	0.9076923077	0.2437988545	0.3276484343	1.343929343	0.8386757074	0.8264241318
0.8692307692	0.9153846154	0.2458766589	0.3310213345	1.346290193	0.8458234198	0.8349315619
0.8692307692	0.9230769231	0.2479980449	0.3344717052	1.348686863	0.853121054	0.8436343949
0.8692307692	0.9307692308	0.2501638313	0.3380004857	1.351116522	0.8605714275	0.8525350001
0.8692307692	0.9384615385	0.2523748445	0.3416086247	1.353576366	0.868177382	0.8616357705
0.8692307692	0.9461538462	0.2546319174	0.3452970807	1.356063624	0.8759417838	0.8709391234
0.8692307692	0.9538461538	0.2569358905	0.3490668215	1.358575561	0.8838675234	0.8804475001
0.8692307692	0.9615384615	0.259287611	0.3529188244	1.361109476	0.8919575159	0.8901633658
0.8692307692	0.9692307692	0.2616879335	0.3568540764	1.363662709	0.9002147005	0.9000892097
0.8692307692	0.9769230769	0.2641377195	0.3608735738	1.36623264	0.9086420411	0.9102275449
0.8692307692	0.9846153846	0.2666378376	0.3649783226	1.368816691	0.9172425258	0.9205809089
0.8692307692	0.9923076923	0.2691891635	0.3691693383	1.371412331	0.9260191671	0.9311518626
0.8692307692	1	0.2717925802	0.3734476457	1.374017074	0.9349750019	0.9419429915
0.8692307692	1.007692308	0.2744489774	0.3778142793	1.376628483	0.9441130916	0.9529569048
0.8692307692	1.015384615	0.2771592521	0.3822702832	1.379244172	0.9534365219	0.9641962356
0.8692307692	1.023076923	0.2799243086	0.3868167108	1.381861807	0.9629484028	0.9756636413
0.8692307692	1.030769231	0.2827450578	0.3914546252	1.384479107	0.9726518688	0.987361803
0.8692307692	1.038461538	0.2856224182	0.3961850989	1.387093847	0.9825500788	0.999293426
0.8692307692	1.046153846	0.2885573151	0.4010092139	1.389703858	0.992646216	1.01146124
0.8692307692	1.053846154	0.2915506808	0.4059280619	1.392307028	1.002943488	1.023867997
0.8692307692	1.061538462	0.294603455	0.4109427438	1.394901305	1.013445127	1.036516476
0.8692307692	1.069230769	0.2977165842	0.4160543704	1.397484697	1.024154389	1.049409476
0.8692307692	1.076923077	0.3008910223	0.4212640617	1.400055271	1.035074556	1.062549825
0.8692307692	1.084615385	0.3041277298	0.4265729473	1.402611158	1.046208931	1.07594037
0.8692307692	1.092307692	0.3074276749	0.4319821665	1.40515055	1.057560846	1.089583986
0.8692307692	1.1	0.3107918324	0.4374928678	1.407671702	1.069133653	1.103483568
0.8692307692	1.107692308	0.3142211844	0.4431062094	1.410172934	1.080930732	1.11764204
0.8692307692	1.115384615	0.3177167201	0.4488233592	1.412652626	1.092955484	1.132062345
0.8692307692	1.123076923	0.3212794358	0.4546454942	1.415109227	1.105211338	1.146747454
0.8692307692	1.130769231	0.3249103347	0.4605738012	1.417541247	1.117701744	1.161700359
0.8692307692	1.138461538	0.3286104273	0.4666094764	1.419947262	1.130430178	1.176924078
0.8692307692	1.146153846	0.3323807311	0.4727537257	1.422325909	1.143400142	1.192421652
0.8692307692	1.153846154	0.3362222708	0.4790077642	1.424675894	1.156615159	1.208196146
0.8692307692	1.161538462	0.340136078	0.4853728169	1.426995983	1.170078778	1.224250651
0.8692307692	1.169230769	0.3441231914	0.4918501179	1.429285007	1.183794574	1.240588278
0.8692307692	1.176923077	0.3481846571	0.4984409112	1.431541859	1.197766143	1.257212165
0.8692307692	1.184615385	0.3523215279	0.5051464501	1.433765496	1.211997109	1.274125474
0.8692307692	1.192307692	0.356534864	0.5119679974	1.435954935	1.226491117	1.291331389
0.8692307692	1.2	0.3608257324	0.5189068255	1.438109256	1.241251839	1.308833121
1.043589744	0.9	0.2641520874	0.3513649445	1.330161529	0.9086914673	0.8862440313
1.043589744	0.9076923077	0.266417522	0.3549626202	1.332354635	0.9164846333	0.89531841
1.043589744	0.9153846154	0.2687261637	0.3586371887	1.334582326	0.9244264333	0.9045867348
1.043589744	0.9230769231	0.2710788189	0.362389584	1.336842124	0.9325196408	0.9140513611
1.043589744	0.9307692308	0.2734763008	0.3662207493	1.339131574	0.9407670538	0.9237146683
1.043589744	0.9384615385	0.27591943	0.3701316376	1.341448254	0.9491714948	0.9335790599
1.043589744	0.9461538462	0.2784090339	0.3741232112	1.343789768	0.9577358104	0.9436469631
1.043589744	0.9538461538	0.2809459472	0.378196442	1.346153756	0.9664628717	0.9539208295
1.043589744	0.9615384615	0.2835310116	0.3823523114	1.348537887	0.9753555744	0.9644031344
1.043589744	0.9692307692	0.286165076	0.3865918104	1.35093987	0.9844168384	0.9750963773
1.043589744	0.9769230769	0.2888489961	0.3909159394	1.353357445	0.9936496079	0.9860030814
1.043589744	0.9846153846	0.2915836351	0.3953257083	1.355788394	1.003056852	0.9971257943
1.043589744	0.9923076923	0.2943698629	0.3998221367	1.358230536	1.012641563	1.008467087
1.043589744	1	0.2972085567	0.4044062535	1.360681731	1.022406759	1.020029556
1.043589744	1.007692308	0.3001006008	0.4090790973	1.363139881	1.032355481	1.03181582
1.043589744	1.015384615	0.3030468866	0.413841716	1.365602929	1.042490796	1.043828522
1.043589744	1.023076923	0.3060483124	0.4186951672	1.368068864	1.052815795	1.05607033
1.043589744	1.030769231	0.3091057838	0.423640518	1.37053572	1.063333593	1.068543935
1.043589744	1.038461538	0.3122202134	0.4286788449	1.373001576	1.074047328	1.081252053
1.043589744	1.046153846	0.3153925209	0.4338112341	1.375464557	1.084960166	1.094197423
1.043589744	1.053846154	0.3186236331	0.4390387811	1.377922839	1.096075293	1.107382809
1.043589744	1.061538462	0.3219144838	0.444362591	1.380374644	1.107395923	1.120810998
1.043589744	1.069230769	0.3252660141	0.4497837786	1.382818244	1.118925292	1.134484801
1.043589744	1.076923077	0.328679172	0.4553034679	1.385251962	1.130666662	1.148407054
1.043589744	1.084615385	0.3321549126	0.4609227926	1.38767417	1.142623319	1.162580616
1.043589744	1.092307692	0.3356941982	0.4666428959	1.390083291	1.154798573	1.177008372
1.043589744	1.1	0.3392979982	0.4724649306	1.392477802	1.167195758	1.191693227
1.043589744	1.107692308	0.3429672888	0.4783900588	1.394856228	1.179818233	1.206638115
1.043589744	1.115384615	0.3467030537	0.4844194523	1.397217149	1.192669381	1.221845989
1.043589744	1.123076923	0.3505062834	0.4905542923	1.399559196	1.205752611	1.23731983
1.043589744	1.130769231	0.3543779757	0.4967957696	1.401881053	1.219071353	1.253062642
1.043589744	1.138461538	0.3583191352	0.5031450845	1.404181455	1.232629066	1.269077451
1.043589744	1.146153846	0.3623307739	0.5096034468	1.40645919	1.246429229	1.285367308
1.043589744	1.153846154	0.3664139107	0.5161720758	1.408713099	1.260475347	1.301935291
1.043589744	1.161538462	0.3705695717	0.5228522003	1.410942075	1.274770951	1.318784497
1.043589744	1.169230769	0.3747987899	0.5296450587	1.413145061	1.289319595	1.335918051
1.043589744	1.176923077	0.3791026057	0.5365518989	1.415321052	1.304124856	1.3533391
1.043589744	1.184615385	0.3834820663	0.5435739782	1.417469097	1.319190338	1.371050815
1.043589744	1.192307692	0.3879382261	0.5507125635	1.419588291	1.334519668	1.389056393
1.043589744	1.2	0.3924721467	0.5579689314	1.421677783	1.350116496	1.407359051
1.217948718	0.9	0.2879187727	0.3800902727	1.32013022	0.9904496102	0.9586976184
1.217948718	0.9076923077	0.2904382704	0.3840204006	1.322210052	0.9991167614	0.9686105378
1.217948718	0.9153846154	0.2930016142	0.3880281675	1.324320921	1.007934744	0.9787192854
1.217948718	0.9230769231	0.2956096047	0.3921145113	1.32646066	1.016906314	0.9890262266
1.217948718	0.9307692308	0.2982630497	0.3962803794	1.328627129	1.026034247	0.9995337511
1.217948718	0.9384615385	0.3009627638	0.4005267288	1.330818217	1.035321349	1.010244272
1.217948718	0.9461538462	0.303709569	0.4048545257	1.33303184	1.044770445	1.021160228
1.217948718	0.9538461538	0.3065042943	0.4092647462	1.335265945	1.054384388	1.03228408
1.217948718	0.9615384615	0.3093477758	0.4137583756	1.337518508	1.064166053	1.043618313
1.217948718	0.9692307692	0.3122408565	0.418336409	1.33978754	1.074118341	1.055165438
1.217948718	0.9769230769	0.3151843867	0.4229998509	1.342071082	1.084244178	1.066927987
1.217948718	0.9846153846	0.3181792238	0.4277497152	1.34436721	1.094546511	1.078908519
1.217948718	0.9923076923	0.3212262321	0.4325870255	1.346674033	1.105028315	1.091109615
1.217948718	1	0.3243262832	0.4375128147	1.348989698	1.115692588	1.10353388
1.217948718	1.007692308	0.3274802557	0.4425281255	1.351312385	1.126542353	1.116183945
1.217948718	1.015384615	0.3306890353	0.4476340099	1.353640315	1.137580655	1.129062462
1.217948718	1.023076923	0.3339535148	0.4528315294	1.355971743	1.148810567	1.14217211
1.217948718	1.030769231	0.3372745939	0.4581217552	1.358304964	1.160235184	1.15551559
1.217948718	1.038461538	0.3406531798	0.4635057679	1.360638313	1.171857625	1.169095627
1.217948718	1.046153846	0.3440901863	0.4689846576	1.362970164	1.183681035	1.182914972
1.217948718	1.053846154	0.3475865348	0.474559524	1.36529893	1.195708583	1.196976398
1.217948718	1.061538462	0.3511431533	0.4802314762	1.367623067	1.207943463	1.211282702
1.217948718	1.069230769	0.3547609772	0.4860016329	1.36994107	1.220388891	1.225836706
1.217948718	1.076923077	0.3584409489	0.4918711223	1.372251479	1.233048109	1.240641256
1.217948718	1.084615385	0.362184018	0.497841082	1.374552872	1.245924384	1.255699222
1.217948718	1.092307692	0.3659911409	0.5039126594	1.376843872	1.259021006	1.271013497
1.217948718	1.1	0.3698632814	0.5100870112	1.379123143	1.272341291	1.286586998
1.217948718	1.107692308	0.3738014102	0.5163653036	1.381389394	1.285888577	1.302422667
1.217948718	1.115384615	0.3778065053	0.5227487124	1.383641375	1.29966623	1.318523471
1.217948718	1.123076923	0.3818795514	0.5292384228	1.385877879	1.313677636	1.334892398
1.217948718	1.130769231	0.3860215407	0.5358356298	1.388097744	1.327926209	1.351532462
1.217948718	1.138461538	0.3902334722	0.5425415376	1.390299849	1.342415386	1.368446702
1.217948718	1.146153846	0.3945163523	0.54935736	1.392483117	1.357148628	1.385638178
1.217948718	1.153846154	0.3988711941	0.5562843205	1.394646514	1.372129421	1.403109976
1.217948718	1.161538462	0.4032990182	0.5633236519	1.396789049	1.387361274	1.420865206
1.217948718	1.169230769	0.4078008519	0.5704765965	1.398909772	1.402847723	1.438907001
1.217948718	1.176923077	0.4123777298	0.5777444063	1.401007777	1.418592327	1.45723852
1.217948718	1.184615385	0.4170306936	0.5851283428	1.403082199	1.434598668	1.475862944
1.217948718	1.192307692	0.421760792	0.5926296767	1.405132217	1.450870355	1.494783478
1.217948718	1.2	0.4265690809	0.6002496887	1.407157048	1.46741102	1.514003352
1.392307692	0.9	0.3130638755	0.4105280591	1.311323635	1.076949553	1.035470521
1.392307692	0.9076923077	0.3158610997	0.4148217755	1.313304411	1.086572092	1.046300515
1.392307692	0.9153846154	0.3187030104	0.4191942709	1.315313183	1.096348353	1.057329214
1.392307692	0.9230769231	0.3215904024	0.4236464873	1.317348043	1.106281073	1.068558991
1.392307692	0.9307692308	0.3245240779	0.4281793761	1.319407111	1.116373008	1.079992248
1.392307692	0.9384615385	0.327504846	0.4327938983	1.321488533	1.126626944	1.091631408
1.392307692	0.9461538462	0.3305335229	0.4374910243	1.32359048	1.137045688	1.103478919
1.392307692	0.9538461538	0.3336109319	0.442271734	1.325711156	1.147632071	1.115537252
1.392307692	0.9615384615	0.3367379034	0.4471370171	1.327848788	1.158388951	1.127808903
1.392307692	0.9692307692	0.339915275	0.4520878723	1.330001638	1.169319209	1.140296392
1.392307692	0.9769230769	0.3431438912	0.4571253084	1.332167992	1.18042575	1.153002263
1.392307692	0.9846153846	0.3464246037	0.4622503433	1.33434617	1.191711504	1.165929083
1.392307692	0.9923076923	0.3497582712	0.4674640045	1.336534524	1.203179425	1.179079445
1.392307692	1	0.3531457597	0.4727673292	1.338731434	1.214832492	1.192455964
1.392307692	1.007692308	0.3565879421	0.478161364	1.340935314	1.226673707	1.20606128
1.392307692	1.015384615	0.3600856984	0.4836471648	1.34314461	1.238706098	1.219898057
1.392307692	1.023076923	0.3636399157	0.4892257974	1.345357801	1.250932717	1.233968982
1.392307692	1.030769231	0.3672514883	0.4948983369	1.347573401	1.26335664	1.248276768
1.392307692	1.038461538	0.3709213174	0.5006658679	1.349789954	1.275980968	1.262824149
1.392307692	1.046153846	0.3746503114	0.5065294847	1.352006042	1.288808824	1.277613887
1.392307692	1.053846154	0.3784393859	0.5124902907	1.354220279	1.301843359	1.292648764
1.392307692	1.061538462	0.3822894634	0.5185493994	1.356431315	1.315087747	1.307931589
1.392307692	1.069230769	0.3862014735	0.5247079334	1.358637834	1.328545184	1.323465193
1.392307692	1.076923077	0.3901763531	0.5309670249	1.360838556	1.342218895	1.339252432
1.392307692	1.084615385	0.3942150459	0.5373278156	1.363032236	1.356112125	1.355296187
1.392307692	1.092307692	0.3983185029	0.5437914569	1.365217666	1.370228145	1.37159936
1.392307692	1.1	0.4024876821	0.5503591095	1.367393672	1.384570253	1.388164879
1.392307692	1.107692308	0.4067235487	0.5570319437	1.369559116	1.399141766	1.404995698
1.392307692	1.115384615	0.4110270747	0.5638111394	1.371712897	1.413946031	1.42209479
1.392307692	1.123076923	0.4153992396	0.5706978858	1.373853949	1.428986415	1.439465157
1.392307692	1.130769231	0.4198410296	0.5776933818	1.375981243	1.444266312	1.457109821
1.392307692	1.138461538	0.4243534383	0.5847988357	1.378093784	1.45978914	1.475031831
1.392307692	1.146153846	0.4289374663	0.5920154655	1.380190615	1.47555834	1.493234259
1.392307692	1.153846154	0.433594121	0.5993444985	1.382270814	1.491577378	1.511720201
1.392307692	1.161538462	0.4383244174	0.6067871717	1.384333493	1.507849746	1.530492775
1.392307692	1.169230769	0.4431293772	0.6143447314	1.386377801	1.524378959	1.549555127
1.392307692	1.176923077	0.4480100293	0.6220184336	1.388402922	1.541168555	1.568910424
1.392307692	1.184615385	0.4529674098	0.6298095438	1.390408074	1.558222099	1.588561858
1.392307692	1.192307692	0.4580025617	0.637719337	1.392392511	1.57554318	1.608512644
1.392307692	1.2	0.4631165352	0.6457490975	1.394355521	1.593135409	1.628766023
1.566666667	0.9	0.3395873957	0.4426783038	1.303576957	1.168191294	1.116562738
1.566666667	0.9076923077	0.3426860099	0.4473667449	1.305471283	1.178850624	1.128388343
1.566666667	0.9153846154	0.3458303522	0.4521354989	1.307391026	1.18966726	1.14041652
1.566666667	0.9230769231	0.3490212119	0.4569855119	1.309334494	1.200643918	1.152649656
1.566666667	0.9307692308	0.3522593855	0.4619177394	1.31130002	1.211783337	1.16509016
1.566666667	0.9384615385	0.3555456765	0.4669331462	1.313285963	1.223088281	1.177740467
1.566666667	0.9461538462	0.3588808953	0.472032707	1.315290708	1.234561538	1.190603034
1.566666667	0.9538461538	0.3622658598	0.4772174056	1.317312666	1.246205922	1.203680344
1.566666667	0.9615384615	0.3657013946	0.4824882357	1.319350276	1.258024269	1.216974902
1.566666667	0.9692307692	0.3691883315	0.4878462003	1.321402002	1.270019442	1.230489239
1.566666667	0.9769230769	0.3727275096	0.4932923118	1.323466337	1.282194326	1.244225908
1.566666667	0.9846153846	0.3763197748	0.4988275925	1.325541802	1.294551831	1.258187487
1.566666667	0.9923076923	0.3799659803	0.5044530739	1.327626946	1.307094892	1.272376578
1.566666667	1	0.3836669862	0.5101697971	1.329720344	1.319826468	1.286795808
1.566666667	1.007692308	0.3874236599	0.5159788127	1.331820604	1.332749544	1.301447826
1.566666667	1.015384615	0.3912368758	0.5218811809	1.333926358	1.345867126	1.316335306
1.566666667	1.023076923	0.3951075152	0.5278779713	1.336036271	1.359182247	1.331460946
1.566666667	1.030769231	0.3990364668	0.5339702631	1.338149035	1.372697964	1.346827468
1.566666667	1.038461538	0.4030246262	0.540159145	1.340263373	1.386417357	1.362437618
1.566666667	1.046153846	0.4070728961	0.5464457151	1.342378037	1.400343533	1.378294167
1.566666667	1.053846154	0.4111821865	0.5528310813	1.344491808	1.41447962	1.394399907
1.566666667	1.061538462	0.4153534141	0.5593163606	1.346603499	1.428828774	1.410757658
1.566666667	1.069230769	0.4195875031	0.56590268	1.348711951	1.443394173	1.427370261
1.566666667	1.076923077	0.4238853844	0.5725911757	1.350816038	1.45817902	1.444240582
1.566666667	1.084615385	0.4282479964	0.5793829934	1.352914662	1.473186542	1.46137151
1.566666667	1.092307692	0.4326762843	0.5862792884	1.355006756	1.488419991	1.478765961
1.566666667	1.1	0.4371712004	0.5932812256	1.357091284	1.503882643	1.496426873
1.566666667	1.107692308	0.4417337041	0.6003899793	1.35916724	1.5195778	1.514357206
1.566666667	1.115384615	0.4463647622	0.6076067333	1.361233647	1.535508784	1.532559947
1.566666667	1.123076923	0.4510653481	0.6149326811	1.363289563	1.551678947	1.551038107
1.566666667	1.130769231	0.4558364426	0.6223690255	1.36533407	1.568091662	1.569794718
1.566666667	1.138461538	0.4606790335	0.6299169788	1.367366285	1.584750327	1.58883284
1.566666667	1.146153846	0.4655941158	0.6375777631	1.369385354	1.601658364	1.608155554
1.566666667	1.153846154	0.4705826914	0.6453526097	1.371390452	1.618819221	1.627765966
1.566666667	1.161538462	0.4756457694	0.6532427596	1.373380784	1.636236368	1.647667207
1.566666667	1.169230769	0.4807843659	0.6612494633	1.375355586	1.653913301	1.66786243
1.566666667	1.176923077	0.4859995043	0.6693739807	1.377314122	1.671853541	1.688354813
1.566666667	1.184615385	0.4912922149	0.6776175813	1.379255687	1.690060631	1.709147558
1.566666667	1.192307692	0.4966635351	0.6859815442	1.381179603	1.708538141	1.730243892
1.566666667	1.2	0.5021145094	0.6944671579	1.383085222	1.727289664	1.751647064
1.741025641	0.9	0.3674893335	0.4765410069	1.29674786	1.264174835	1.201974271
1.741025641	0.9076923077	0.3709130009	0.4816553088	1.2985668	1.275952359	1.21487402
1.741025641	0.9153846154	0.3743836396	0.4868518515	1.300408992	1.287891465	1.227981204
1.741025641	0.9230769231	0.3779020333	0.4921315852	1.302272922	1.299994849	1.241298219
1.741025641	0.9307692308	0.3814689725	0.4974954691	1.3041571	1.312265232	1.254827486
1.741025641	0.9384615385	0.3850852553	0.5029444725	1.306060062	1.324705358	1.268571449
1.741025641	0.9461538462	0.3887516865	0.5084795737	1.307980367	1.337317997	1.282532575
1.741025641	0.9538461538	0.3924690781	0.5141017609	1.309916601	1.350105941	1.296713358
1.741025641	0.9615384615	0.3962382493	0.5198120316	1.311867374	1.363072008	1.311116312
1.741025641	0.9692307692	0.4000600261	0.5256113928	1.313831322	1.37621904	1.325743979
1.741025641	0.9769230769	0.403935242	0.5315008613	1.315807105	1.389549904	1.340598922
1.741025641	0.9846153846	0.4078647372	0.537481463	1.31779341	1.403067491	1.35568373
1.741025641	0.9923076923	0.4118493593	0.5435542336	1.31978895	1.416774716	1.371001014
1.741025641	1	0.4158899627	0.5497202183	1.321792463	1.430674518	1.386553411
1.741025641	1.007692308	0.4199874092	0.5559804718	1.323802713	1.444769863	1.402343581
1.741025641	1.015384615	0.4241425674	0.5623360581	1.32581849	1.459063737	1.418374208
1.741025641	1.023076923	0.4283563132	0.568788051	1.327838609	1.473559155	1.434648001
1.741025641	1.030769231	0.4326295295	0.5753375337	1.329861913	1.488259153	1.451167691
1.741025641	1.038461538	0.4369631062	0.581985599	1.331887271	1.503166793	1.467936035
1.741025641	1.046153846	0.4413579405	0.588733349	1.333913577	1.518285161	1.484955812
1.741025641	1.053846154	0.4458149365	0.5955818956	1.335939752	1.533617367	1.502229828
1.741025641	1.061538462	0.4503350055	0.6025323599	1.337964743	1.549166546	1.519760909
1.741025641	1.069230769	0.4549190658	0.6095858728	1.339987524	1.564935857	1.537551909
1.741025641	1.076923077	0.459568043	0.6167435747	1.342007096	1.580928485	1.555605704
1.741025641	1.084615385	0.4642828695	0.6240066152	1.344022483	1.597147636	1.573925193
1.741025641	1.092307692	0.4690644849	0.6313761539	1.34603274	1.613596543	1.592513302
1.741025641	1.1	0.473913836	0.6388533594	1.348036944	1.630278463	1.611372977
1.741025641	1.107692308	0.4788318766	0.6464394102	1.350034202	1.647196677	1.630507192
1.741025641	1.115384615	0.4838195676	0.6541354942	1.352023643	1.66435449	1.649918942
1.741025641	1.123076923	0.4888778769	0.6619428088	1.354004426	1.681755233	1.669611248
1.741025641	1.130769231	0.4940077796	0.6698625609	1.355975733	1.699402259	1.689587153
1.741025641	1.138461538	0.4992102578	0.677895967	1.357936774	1.717298947	1.709849727
1.741025641	1.146153846	0.5044863009	0.6860442529	1.359886783	1.735448701	1.730402061
1.741025641	1.153846154	0.5098369052	0.6943086542	1.361825021	1.753854948	1.751247272
1.741025641	1.161538462	0.5152630741	0.7026904158	1.363750773	1.772521139	1.7723885
